DIMS 7 7 8 26 2
COUNTS 1:6 2:2 3:2 4:5 5:17 6:1 7:3 8:2 9:3 10:2 11:3 12:3 13:3 14:10 15:6 16:2 17:1 18:5 19:4 20:5 21:3 22:2 23:2 24:1 25:1 26:2
SCORES 1:1 2:3 3:5 4:2 5:1 6:4 7:3 8:4 9:1 10:4 11:3 12:3 13:3 14:1 15:1 16:3 17:10 18:2 19:2 20:2 21:4 22:4 23:5 24:8 25:8 26:4
PREPLACED 1,0,11 3,0,6 5,0,12
NONSCORING 1 3 5
DICT experiments/xtests/dict_7.txt
NSCORING 4
SCOL 0 4 154
WORDV 24 20 9 12
SCOL 2 2 8
WORDV 2 1
WORDV 3 19
WORDV 2 5
WORDV 2 14
WORDV 3 20
WORDV 3 4
WORDV 2 15
WORDV 4 11
SCOL 4 5 103
WORDV 13 12 15 7 19
WORDV 15 18 21 12 20
WORDV 10 1 12 5 14
WORDV 13 18 21 9 20
WORDV 10 15 19 19 1
WORDV 10 18 1 1 19
WORDV 10 15 14 20 19
WORDV 11 18 1 14 11
WORDV 10 1 18 5 19
WORDV 14 18 21 19 20
WORDV 13 12 1 2 20
WORDV 11 12 9 14 20
WORDV 8 15 14 5 14
WORDV 12 1 20 10 5
WORDV 10 18 9 5 20
WORDV 13 9 11 10 5
WORDV 9 15 18 5 14
WORDV 11 18 9 19 20
WORDV 11 12 5 14 19
WORDV 10 1 9 18 19
WORDV 15 12 21 20 19
WORDV 10 18 5 5 19
WORDV 11 1 26 5 14
WORDV 12 1 22 15 19
WORDV 11 18 5 12 5
WORDV 14 12 5 21 19
WORDV 13 12 5 16 20
WORDV 12 1 16 16 5
WORDV 11 18 1 20 19
WORDV 10 5 5 19 20
WORDV 12 15 14 3 5
WORDV 11 18 5 20 19
WORDV 11 1 1 12 20
WORDV 10 9 5 20 19
WORDV 10 9 20 20 5
WORDV 13 12 9 11 20
WORDV 13 12 9 16 19
WORDV 10 5 14 15 12
WORDV 12 1 18 13 19
WORDV 14 12 1 18 6
WORDV 14 12 5 21 18
WORDV 10 18 1 14 19
WORDV 11 15 22 5 14
WORDV 11 12 15 15 4
WORDV 12 18 9 10 14
WORDV 12 12 5 5 13
WORDV 10 1 19 5 19
WORDV 10 15 18 19 5
WORDV 12 1 2 5 12
WORDV 12 12 9 14 11
WORDV 12 5 19 10 5
WORDV 10 1 18 4 5
WORDV 15 12 21 9 13
WORDV 10 1 11 5 14
WORDV 12 12 1 14 11
WORDV 12 5 22 5 18
WORDV 12 12 1 13 5
WORDV 17 12 15 21 23
WORDV 12 5 12 19 20
WORDV 9 15 15 9 20
WORDV 12 12 15 18 20
WORDV 11 12 9 5 18
WORDV 11 12 15 15 20
WORDV 11 9 5 12 20
WORDV 12 15 21 20 5
WORDV 12 12 15 19 20
WORDV 12 9 11 11 5
WORDV 13 12 1 16 20
WORDV 12 12 5 13 5
WORDV 11 12 1 14 19
WORDV 12 12 15 19 19
WORDV 13 1 3 5 19
WORDV 10 5 20 1 19
WORDV 13 12 9 16 20
WORDV 9 14 9 5 19
WORDV 11 18 1 13 5
WORDV 11 12 5 18 5
WORDV 12 12 1 20 19
WORDV 11 12 5 5 18
WORDV 12 12 5 19 20
WORDV 15 18 1 3 11
WORDV 12 15 15 6 20
WORDV 10 18 5 18 5
WORDV 12 12 15 5 16
WORDV 12 12 5 20 19
WORDV 10 1 4 5 19
WORDV 9 1 4 5 14
WORDV 13 1 3 20 1
WORDV 10 15 5 20 19
WORDV 12 12 15 20 19
WORDV 10 5 19 5 19
WORDV 12 12 15 18 19
WORDV 9 18 1 1 9
WORDV 12 12 9 20 19
WORDV 17 12 1 21 23
WORDV 13 12 15 11 20
WORDV 9 1 18 5 14
WORDV 11 1 11 5 18
WORDV 12 18 9 16 19
WORDV 11 12 1 20 9
WORDV 14 12 21 9 20
WORDV 10 15 12 9 5
WORDV 13 5 26 5 12
SCOL 6 3 22
WORDV 12 20 5
WORDV 15 7 15
WORDV 15 9 11
WORDV 12 18 5
WORDV 15 16 1
WORDV 15 16 9
WORDV 12 18 1
WORDV 15 2 9
WORDV 12 4 5
WORDV 12 9 20
WORDV 18 1 21
WORDV 24 8 13
WORDV 9 15 14
WORDV 21 23 1
WORDV 15 16 15
WORDV 12 9 19
WORDV 12 5 20
WORDV 12 5 18
WORDV 27 21 8
WORDV 9 5 14
WORDV 15 5 12
WORDV 18 22 1
TRUTH MAXSCORE 84
