DIMS 7 7 8 26 0
COUNTS 1:1 2:1 3:1 4:1 5:4 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:0 20:1 21:0 22:1 23:1 24:1 25:1 26:1
SCORES 1:1 2:3 3:5 4:2 5:1 6:4 7:3 8:4 9:1 10:4 11:3 12:3 13:3 14:1 15:1 16:3 17:10 18:2 19:2 20:2 21:4 22:4 23:5 24:8 25:8 26:4
PREPLACED 1,0,13 3,0,11 5,0,5
NONSCORING 1 3 5
DICT experiments/xtests/dict_7.txt
NSCORING 4
SCOL 0 4 154
WORDV 24 20 15 16
WORDV 24 20 9 16
WORDV 21 15 16 9
WORDV 27 12 5 13
WORDV 24 1 22 5
WORDV 24 20 1 13
WORDV 24 16 1 18
WORDV 21 14 5 11
WORDV 33 3 1 13
WORDV 30 5 12 6
WORDV 27 12 1 16
WORDV 30 3 1 20
WORDV 27 12 1 13
WORDV 27 12 1 7
WORDV 27 16 1 11
WORDV 36 20 21 6
WORDV 27 8 15 20
WORDV 27 21 9 20
WORDV 21 16 15 14
WORDV 18 14 1 18
WORDV 24 20 5 13
WORDV 18 1 18 1
WORDV 24 12 15 20
WORDV 27 12 5 11
WORDV 24 20 9 12
WORDV 24 20 5 12
SCOL 2 2 6
WORDV 7 16
WORDV 7 11
WORDV 6 20
WORDV 9 23
WORDV 5 9
WORDV 8 8
SCOL 4 5 341
WORDV 9 1 12 5 14
WORDV 9 14 5 20 19
WORDV 8 9 14 15 19
WORDV 11 9 11 11 5
WORDV 10 1 11 9 19
WORDV 12 12 9 11 20
WORDV 13 5 6 6 5
WORDV 13 23 9 14 11
WORDV 9 18 15 15 4
WORDV 11 1 22 1 19
WORDV 15 23 1 12 13
WORDV 11 21 9 5 18
WORDV 12 23 9 14 20
WORDV 11 1 19 10 5
WORDV 9 1 1 18 19
WORDV 12 18 9 10 20
WORDV 11 18 1 13 20
WORDV 7 5 14 5 14
WORDV 10 18 9 20 19
WORDV 11 5 11 5 12
WORDV 8 5 20 5 14
WORDV 10 12 15 5 20
WORDV 11 1 26 5 18
WORDV 10 1 13 5 18
WORDV 12 23 1 4 5
WORDV 7 5 14 14 5
WORDV 10 18 15 5 12
WORDV 10 14 1 11 19
WORDV 13 23 15 18 20
WORDV 10 18 5 5 12
WORDV 12 12 9 10 14
WORDV 14 23 5 12 20
WORDV 15 21 21 18 20
WORDV 10 12 5 5 4
WORDV 12 12 15 5 6
WORDV 11 12 9 20 19
WORDV 13 12 15 13 16
WORDV 10 9 5 12 20
WORDV 10 18 1 1 13
WORDV 10 5 5 11 20
WORDV 14 12 21 19 20
WORDV 10 18 1 7 5
WORDV 14 23 1 11 19
WORDV 14 18 21 11 20
WORDV 13 23 1 1 12
WORDV 11 14 5 21 19
WORDV 9 15 12 9 5
WORDV 9 12 15 15 14
WORDV 8 1 14 20 5
WORDV 10 1 19 12 1
WORDV 12 12 1 13 19
WORDV 12 9 11 10 5
WORDV 13 23 1 1 11
WORDV 8 18 15 15 9
WORDV 13 23 1 19 20
WORDV 11 1 22 5 19
WORDV 11 1 12 12 5
WORDV 12 18 21 9 19
WORDV 10 12 1 1 18
WORDV 11 9 13 13 5
WORDV 9 5 16 5 14
WORDV 12 12 5 22 5
WORDV 10 18 9 5 16
WORDV 12 15 21 4 19
WORDV 11 18 9 11 20
WORDV 11 1 13 13 5
WORDV 10 9 14 11 20
WORDV 11 18 9 16 20
WORDV 13 23 5 11 5
WORDV 12 12 15 22 5
WORDV 12 12 5 18 11
WORDV 15 18 1 21 23
WORDV 10 14 9 11 20
WORDV 9 12 5 5 14
WORDV 12 12 5 13 20
WORDV 9 15 5 20 19
WORDV 10 1 12 5 19
WORDV 10 1 11 5 18
WORDV 10 5 11 5 18
WORDV 9 1 13 5 14
WORDV 9 5 19 19 5
WORDV 15 23 9 10 20
WORDV 10 18 9 19 20
WORDV 12 5 18 6 20
WORDV 9 18 5 14 20
WORDV 8 14 9 5 19
WORDV 12 18 21 9 20
WORDV 14 18 21 12 20
WORDV 7 15 14 5 14
WORDV 11 1 6 20 5
WORDV 10 18 5 20 19
WORDV 10 18 15 15 16
WORDV 10 12 5 18 5
WORDV 11 18 15 11 20
WORDV 10 18 5 19 20
WORDV 11 5 12 19 20
WORDV 9 1 4 5 18
WORDV 11 5 22 5 18
WORDV 12 12 15 11 20
WORDV 11 1 20 10 5
WORDV 10 1 11 20 5
WORDV 9 14 15 16 5
WORDV 16 12 21 23 5
WORDV 11 18 15 5 6
WORDV 9 5 12 5 14
WORDV 10 14 15 16 20
WORDV 13 12 21 9 19
WORDV 13 12 5 21 18
WORDV 9 1 19 20 5
WORDV 10 12 15 20 5
WORDV 12 18 5 21 19
WORDV 12 9 10 11 5
WORDV 11 18 15 12 20
WORDV 11 12 5 19 20
WORDV 11 18 21 9 14
WORDV 10 18 1 1 11
WORDV 9 9 5 13 5
WORDV 11 15 21 20 5
WORDV 13 5 12 6 20
WORDV 15 18 1 3 8
WORDV 8 1 18 5 14
WORDV 9 15 13 5 14
WORDV 11 18 15 16 20
WORDV 13 18 21 9 11
WORDV 9 15 5 11 5
WORDV 11 12 5 5 13
WORDV 9 5 20 19 5
WORDV 13 23 9 20 19
WORDV 9 5 5 18 20
WORDV 11 12 15 5 11
WORDV 11 12 1 20 19
WORDV 10 5 22 5 14
WORDV 12 5 12 22 5
WORDV 9 9 5 12 5
WORDV 9 1 16 5 14
WORDV 16 23 9 10 12
WORDV 10 18 15 14 7
WORDV 9 12 5 14 5
WORDV 12 23 9 5 20
WORDV 11 18 21 9 5
WORDV 11 1 2 5 12
WORDV 10 15 16 9 19
WORDV 11 18 1 16 19
WORDV 11 12 15 19 20
WORDV 14 14 1 21 23
WORDV 12 23 1 14 20
WORDV 13 12 5 6 19
WORDV 12 1 26 9 7
WORDV 9 18 15 5 20
WORDV 11 12 15 14 11
WORDV 13 15 2 21 19
WORDV 12 12 5 16 20
WORDV 13 18 21 9 16
WORDV 12 23 5 5 18
WORDV 10 15 13 5 18
WORDV 10 12 5 14 19
WORDV 13 23 9 19 20
WORDV 10 18 1 13 5
WORDV 11 12 15 20 19
WORDV 9 18 5 20 5
WORDV 9 1 19 19 5
WORDV 9 1 1 18 4
WORDV 11 18 1 7 20
WORDV 10 5 7 4 5
WORDV 13 12 21 9 20
WORDV 9 12 15 15 9
WORDV 10 1 26 5 14
WORDV 12 23 5 5 20
WORDV 10 18 5 5 7
WORDV 11 1 16 16 5
WORDV 10 14 1 16 20
WORDV 10 18 15 5 16
WORDV 14 18 21 9 6
WORDV 10 12 1 1 19
WORDV 9 18 5 14 19
WORDV 14 23 9 11 20
WORDV 8 1 1 9 20
WORDV 10 15 11 5 19
WORDV 10 18 9 5 12
WORDV 9 5 5 19 20
WORDV 9 1 9 4 19
WORDV 10 18 1 1 7
WORDV 13 21 9 12 20
WORDV 8 1 4 5 14
WORDV 12 23 1 1 4
WORDV 8 14 15 15 20
WORDV 10 18 5 5 11
WORDV 10 1 1 16 20
WORDV 10 21 9 5 14
WORDV 11 14 5 21 20
WORDV 10 15 11 5 18
WORDV 12 18 9 10 19
WORDV 8 15 18 5 14
WORDV 10 12 9 5 18
WORDV 11 21 18 5 14
WORDV 8 18 5 5 14
WORDV 10 18 1 19 20
WORDV 11 12 1 7 5
WORDV 15 21 11 10 5
WORDV 12 18 21 9 4
WORDV 10 18 1 20 19
WORDV 10 12 15 14 20
WORDV 8 9 14 1 19
WORDV 8 18 1 1 9
WORDV 12 12 9 5 6
WORDV 11 12 1 14 11
WORDV 9 18 9 14 19
WORDV 9 15 7 5 14
WORDV 11 12 9 5 13
WORDV 9 1 18 18 5
WORDV 12 12 1 11 20
WORDV 11 12 15 15 11
WORDV 9 1 1 18 20
WORDV 8 5 14 4 5
WORDV 11 18 9 11 19
WORDV 13 23 9 5 11
WORDV 10 18 15 15 11
WORDV 10 12 5 4 5
WORDV 9 9 20 20 5
WORDV 10 1 1 13 20
WORDV 9 14 15 15 16
WORDV 11 23 5 5 14
WORDV 10 1 13 1 19
WORDV 11 12 5 20 19
WORDV 13 18 21 9 13
WORDV 11 18 5 16 20
WORDV 9 15 15 19 20
WORDV 9 1 11 5 14
WORDV 9 12 15 14 5
WORDV 9 18 15 5 19
WORDV 11 5 7 5 12
WORDV 9 12 15 5 14
WORDV 15 12 21 9 6
WORDV 13 12 21 14 19
WORDV 13 23 5 5 12
WORDV 12 12 15 15 6
WORDV 8 15 14 20 5
WORDV 9 15 5 12 5
WORDV 14 12 21 20 19
WORDV 16 12 1 21 23
WORDV 13 12 15 6 20
WORDV 11 5 18 22 5
WORDV 11 18 9 10 14
WORDV 10 18 5 14 7
WORDV 10 18 9 14 7
WORDV 10 18 1 14 11
WORDV 11 18 1 11 20
WORDV 10 15 22 5 14
WORDV 14 23 5 11 20
WORDV 10 5 20 19 20
WORDV 9 1 4 5 19
WORDV 9 1 1 19 20
WORDV 9 12 1 1 9
WORDV 13 14 9 10 6
WORDV 9 15 15 18 4
WORDV 14 9 5 21 23
WORDV 12 23 9 5 18
WORDV 12 18 15 13 16
WORDV 11 12 9 19 20
WORDV 9 5 11 5 14
WORDV 12 12 5 21 14
WORDV 11 14 9 10 20
WORDV 7 14 15 15 9
WORDV 14 21 20 10 5
WORDV 12 12 1 1 6
WORDV 13 12 1 13 16
WORDV 11 12 1 1 7
WORDV 10 18 9 5 13
WORDV 12 1 22 5 12
WORDV 8 18 1 1 14
WORDV 10 1 18 20 19
WORDV 13 18 5 21 11
WORDV 10 5 5 12 20
WORDV 7 1 1 9 5
WORDV 10 18 9 5 11
WORDV 14 15 21 23 5
WORDV 12 15 18 6 20
WORDV 10 1 1 12 20
WORDV 10 14 1 11 20
WORDV 9 18 15 4 5
WORDV 9 18 5 5 20
WORDV 10 15 12 1 19
WORDV 10 18 15 11 5
WORDV 9 18 15 15 19
WORDV 13 9 10 11 20
WORDV 12 21 9 12 5
WORDV 12 5 22 5 12
WORDV 12 14 9 10 16
WORDV 10 18 1 14 7
WORDV 10 9 16 1 19
WORDV 10 18 1 11 5
WORDV 10 12 9 5 20
WORDV 10 15 5 11 20
WORDV 15 12 9 10 6
WORDV 11 18 15 26 5
WORDV 11 12 1 19 20
WORDV 8 15 15 9 20
WORDV 12 12 1 16 20
WORDV 13 23 1 18 20
WORDV 11 5 21 18 5
WORDV 9 14 5 5 16
WORDV 11 15 6 20 5
WORDV 9 18 5 9 20
WORDV 12 18 1 13 16
WORDV 9 18 5 5 19
WORDV 9 18 1 14 20
WORDV 8 14 9 5 18
WORDV 13 18 21 19 20
WORDV 11 18 9 2 20
WORDV 11 5 16 16 5
WORDV 8 5 18 5 14
WORDV 9 18 15 15 20
WORDV 11 12 9 14 11
WORDV 12 5 21 18 20
WORDV 8 18 5 5 5
WORDV 9 14 1 20 19
WORDV 13 18 9 10 7
WORDV 10 12 15 15 20
WORDV 9 18 1 14 19
WORDV 14 23 9 10 14
WORDV 9 15 16 5 14
WORDV 12 12 5 5 6
WORDV 9 1 18 4 5
WORDV 10 14 15 11 20
WORDV 10 18 15 20 19
WORDV 12 23 5 18 5
WORDV 11 12 15 5 7
WORDV 13 23 1 11 5
WORDV 9 1 20 20 5
WORDV 13 23 5 5 11
WORDV 11 9 6 20 5
WORDV 11 15 21 4 5
WORDV 9 14 15 18 19
WORDV 9 14 1 1 11
WORDV 12 5 7 10 5
WORDV 13 12 9 6 20
WORDV 11 5 7 7 5
WORDV 14 5 5 21 23
WORDV 10 14 9 16 20
WORDV 17 12 21 23 20
WORDV 9 15 18 4 5
SCOL 6 3 17
WORDV 15 9 11
WORDV 12 1 18
WORDV 24 21 11
WORDV 9 5 9
WORDV 12 1 20
WORDV 9 15 14
WORDV 12 9 19
WORDV 12 5 20
WORDV 12 5 19
WORDV 15 5 2
WORDV 15 5 7
WORDV 12 15 19
WORDV 15 15 16
WORDV 15 5 12
WORDV 15 1 13
WORDV 12 1 19
WORDV 21 21 20
TRUTH MAXSCORE 69
